S.No.,State ,City,CODE
1,Alabama,Birmingham,BHM
2,Alabama,Dothan,DHN
3,Alabama,Huntsville,HSV
4,Alabama,Mobile,MOB
5,Alabama,Montgomery,MGM
6,Alaska,Anchorage,MRI
7,Alaska,Anchorage,ANC
8,Alaska,Bethel,BET
9,Alaska,Cordova,CDV
10,Alaska,Deadhorse,SCC
11,Alaska,Dillingham,DLG
12,Alaska,Fairbanks,FAI
13,Alaska,Gustavus,GST
14,Alaska,Homer,HOM
15,Alaska,Juneau,JNU
16,Alaska,Kenai,ENA
17,Alaska,Ketchikan,KTN
18,Alaska,King Salmon,AKN
19,Alaska,Klawock,KLW
20,Alaska,Kodiak,ADQ
21,Alaska,Kotzebue,OTZ
22,Alaska,Nome,OME
23,Alaska,Petersburg,PSG
24,Alaska,Sitka,SIT
25,Alaska,Unalaska,DUT
26,Alaska,Utqiaġvik (Barrow),BRW
27,Alaska,Wrangell,WRG
28,Alaska,Yakutat,YAK
29,Arizona,Flagstaff,FLG
30,Arizona,Mesa,AZA
31,Arizona,Page,PGA
32,Arizona,Phoenix,PHX
33,Arizona,Prescott,PRC
34,Arizona,Tucson,TUS
35,Arizona,Yuma,YUM
36,Arizona,Fayetteville,XNA
37,Arizona,Fort Smith,FSM
38,Arizona,Little Rock,LIT
39,Arizona,Texarkana,TXK
40,California,Arcata/Eureka,ACV
41,California,Bakersfield,BFL
42,California,Burbank,BUR
43,California,Fresno,FAT
44,California,Long Beach,LGB
45,California,Los Angeles,LAX
46,California,Monterey,MRY
47,California,Oakland,OAK
48,California,Ontario,ONT
49,California,Orange County,SNA
50,California,Palm Springs,PSP
51,California,Redding,RDD
52,California,Sacramento,SMF
53,California,San Bernardino,SBD
54,California,San Diego,SAN
55,California,San Francisco,SFO
56,California,San Jose,SJC
57,California,San Luis Obispo,SBP
58,California,Santa Barbara,SBA
59,California,Santa Maria,SMX
60,California,Santa Rosa,STS
61,California,Stockton,SCK
62,Colorado,Alamosa,ALS
63,Colorado,Aspen,ASE
64,Colorado,Colorado Springs,COS
65,Colorado,Denver,DEN
66,Colorado,Durango,DRO
67,Colorado,Eagle/Vail,EGE
68,Colorado,Grand Junction,GJT
69,Colorado,Gunnison,GUC
70,Colorado,Hayden,HDN
71,Colorado,Montrose,MTJ
72,Connecticut,Hartford,BDL
73,Connecticut,New Haven,HVN
74,Delaware,Wilmington,ILG
75,Florida,Daytona Beach,DAB
76,Florida,Fort Lauderdale,FLL
77,Florida,Fort Myers,RSW
78,Florida,Fort Walton Beach,VPS
79,Florida,Gainesville,GNV
80,Florida,Jacksonville,JAX
81,Florida,Key West,EYW
82,Florida,Melbourne,MLB
83,Florida,Miami,MIA
84,Florida,Orlando,MCO
85,Florida,Panama City,ECP
86,Florida,Pensacola,PNS
87,Florida,Punta Gorda,PGD
88,Florida,Sanford,SFB
89,Florida,Sarasota,SRQ
90,Florida,St. Petersburg,PIE
91,Florida,Tallahassee,TLH
92,Florida,Tampa,TPA
93,Florida,West Palm Beach,PBI
94,Georgia,Albany,ABY
95,Georgia,Atlanta,ATL
96,Georgia,Augusta,AGS
97,Georgia,Brunswick,BQK
98,Georgia,Columbus,CSG
99,Georgia,Macon,MCN
100,Georgia,Savannah,SAV
101,Georgia,Valdosta,VLD
373,Guam,"Hilo, Hawaii",ITO
102,Hawaii,"Honolulu, Oahu",HNL
103,Hawaii,"Kahului, Maui",OGG
104,Hawaii,"Kailua-Kona, Hawaii",KOA
105,Hawaii,"Kaunakakai, Molokai",MKK
106,Hawaii,"Lanai City, Lanai",LNY
107,Hawaii,"Lihue, Kauai",LIH
108,Hawaii,Boise,BOI
109,Idaho,Hailey / Sun Valley,SUN
110,Idaho,Idaho Falls,IDA
111,Idaho,Lewiston,LWS
112,Idaho,Pocatello,PIH
113,Idaho,Twin Falls,TWF
114,Idaho,Belleville,BLV
115,Illinois,Bloomington / Normal,BMI
116,Illinois,Champaign / Urbana / Savoy,CMI
117,Illinois,Chicago,MDW
118,Illinois,Chicago,ORD
119,Illinois,Marion,MWA
120,Illinois,Moline,MLI
121,Illinois,Peoria,PIA
122,Illinois,Rockford,RFD
123,Illinois,Springfield,SPI
124,Illinois,Evansville,EVV
125,Indiana ,Fort Wayne,FWA
126,Indiana ,Indianapolis,IND
127,Indiana ,South Bend,SBN
128,Indiana ,Cedar Rapids,CID
129,Iowa,Des Moines,DSM
130,Iowa,Dubuque,DBQ
131,Iowa,Sioux City,SUX
132,Iowa,Waterloo,ALO
133,Iowa,Garden City,GCK
134,Kansas,Hays,HYS
135,Kansas,Manhattan,MHK
136,Kansas,Salina,SLN
137,Kansas,Wichita,ICT
138,Kansas,Cincinnati/Covington,CVG
139,Kentucky,Lexington,LEX
140,Kentucky,Louisville,SDF
141,Kentucky,Owensboro,OWB
142,Kentucky,Paducah,PAH
143,Kentucky,Alexandria,AEX
144,Louisiana,Baton Rouge,BTR
145,Louisiana,Lafayette,LFT
146,Louisiana,Lake Charles,LCH
147,Louisiana,Monroe,MLU
148,Louisiana,New Orleans,MSY
149,Louisiana,Shreveport,SHV
150,Louisiana,Bangor,BGR
151,Maine,Portland,PWM
152,Maine,Presque Isle,PQI
153,Maine,Rockland,RKD
